table,section,item,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state,hazard_reduction_pct,reserve_gain_pct,ug,parameter,PRCC_reserve,PRCC_hazard,elasticity_reserve,elasticity_hazard,rtol,atol,A0,F0
continuation,,,0.22754123731832282,0.11918243846448838,0.06046181345729881,0.0957502229658577,0.07385335784387534,0.6955341024397331,0.5934175014592834,-0.24872261019117547,0.23329812722614957,Preserved,0.06046181345729881,0.74,,,0.1,,,,,,,,,
continuation,,,0.23616629008771298,0.12314695416847832,0.06225478153786255,0.09860907932481451,0.07623360510905082,0.6899219359552199,0.5843616307008181,-0.2425334390840252,0.24227124873341654,Preserved,0.06225478153786255,0.74,,,0.10500000000000001,,,,,,,,,
continuation,,,0.2446050340313955,0.12701261345223103,0.06400617619800357,0.10140020476987069,0.07856024783183525,0.6844989485924,0.5755745382866353,-0.23651423433814922,0.2512204310397395,Preserved,0.06400617619800357,0.74,,,0.11,,,,,,,,,
continuation,,,0.2528631738613827,0.1307826335784888,0.06571721628168685,0.10412569553253097,0.08083485544345793,0.6792564295369313,0.5670450439576938,-0.23065842025246358,0.2601349322662885,Preserved,0.06571721628168685,0.74,,,0.115,,,,,,,,,
continuation,,,0.2609461988525364,0.1344601153690668,0.06738908383972791,0.10678757579877256,0.08305894751987035,0.6741861635563284,0.5587625507720722,-0.22495974148484638,0.2690047485179892,Preserved,0.06738908383972791,0.74,,,0.12,,,,,,,,,
continuation,,,0.26885939214316307,0.13804804703571605,0.06902292478439687,0.10938779990918801,0.08523399506277105,0.669280398023595,0.5507170090951258,-0.21941224448526828,0.2778206094221164,Preserved,0.06902292478439687,0.74,,,0.125,,,,,,,,,
continuation,,,0.27660783955561946,0.14154930796219373,0.07061984959187378,0.1119282545526248,0.08736142177171323,0.664531812287379,0.5428988830130349,-0.21401026011889995,0.2865739681047694,Preserved,0.07061984959187378,0.74,,,0.13,,,,,,,,,
continuation,,,0.2841964380359789,0.1449666724641272,0.07218093407208162,0.11441076095213752,0.0894426053607075,0.6599334894471742,0.5352991191966596,-0.20874838748110935,0.2952569862621138,Preserved,0.07218093407208162,0.74,,,0.135,,,,,,,,,
continuation,,,0.291629903686933,0.14830281348310265,0.0737072201699904,0.11683707702521658,0.09147887886810835,0.6554788901703589,0.5279091178838332,-0.20362147875673048,0.3038625151846827,Preserved,0.0737072201699904,0.74,,,0.14,,,,,,,,,
continuation,,,0.29891277943160904,0.15156030621655142,0.07519971680077125,0.119208899515148,0.09347153197200035,0.6511618284559006,0.5207207058775005,-0.19862462507192816,0.31238407340594515,Preserved,0.07519183981687423,0.74,,,0.14500000000000002,,,,,,,,,
