A0,F0,reserve_potential,hazard,regime
0.05,0.05,0.43320643999269387,0.4287205621690698,Constrained
0.05,0.06666666666666667,0.4322986530003954,0.42979993880202694,Constrained
0.05,0.08333333333333334,0.4313937002060455,0.4308774012564405,Constrained
0.05,0.1,0.43049157844791286,0.4319529336597451,Constrained
0.05,0.11666666666666667,0.4295922844386123,0.4330265204026577,Constrained
0.05,0.13333333333333333,0.4286958147680257,0.4340981461385515,Constrained
0.05,0.15000000000000002,0.4278021659056513,0.43516779578261683,Constrained
0.05,0.16666666666666669,0.4269113342029527,0.43623545451077345,Constrained
0.05,0.18333333333333335,0.4260233158960015,0.437301107758212,Constrained
0.05,0.2,0.4251381071089495,0.438364741217193,Constrained
0.05,0.21666666666666667,0.42425570385918276,0.4394263408335311,Constrained
0.05,0.23333333333333334,0.4233761020367545,0.4404858928262748,Constrained
0.05,0.25,0.4224992973299451,0.44154338374991076,Constrained
0.05,0.26666666666666666,0.4216252854813093,0.4425988002701579,Constrained
0.05,0.2833333333333333,0.4207540620568723,0.4436521293713416,Constrained
0.05,0.3,0.4198856225195706,0.44470335829009106,Constrained
0.05,0.31666666666666665,0.41901996223508353,0.4457524745109721,Constrained
0.05,0.3333333333333333,0.4181570764805055,0.4467994657601528,Constrained
0.05,0.35,0.4172969603885346,0.44784432005124286,Constrained
0.05,0.36666666666666664,0.41643960890937265,0.448887025712386,Constrained
0.05,0.3833333333333333,0.4155850170863882,0.44992757116694543,Constrained
0.05,0.39999999999999997,0.41473317978300556,0.4509659451540641,Constrained
0.05,0.41666666666666663,0.4138840917737799,0.45200213665465605,Constrained
0.05,0.4333333333333333,0.41303774775124236,0.4530361348862105,Constrained
0.05,0.45,0.41219414233428675,0.4540679292966127,Constrained
0.05,0.4666666666666667,0.4113532698692253,0.45509750971644936,Constrained
0.05,0.48333333333333334,0.4105151248393317,0.45612486604207986,Constrained
0.05,0.5,0.40967970158621914,0.4571499884523257,Constrained
0.05,0.5166666666666667,0.40884699435269567,0.45817286737424107,Constrained
0.05,0.5333333333333333,0.40801699730380814,0.4591934934666454,Constrained
0.05,0.55,0.40718970453160563,0.4602118576162642,Constrained
0.06666666666666667,0.05,0.43237400196851583,0.4297003343016762,Constrained
0.06666666666666667,0.06666666666666667,0.4314713383644363,0.4307749470501712,Constrained
0.06666666666666667,0.08333333333333334,0.4305714933997802,0.4318476384165443,Constrained
0.06666666666666667,0.1,0.4296744637899387,0.43291839292415063,Constrained
0.06666666666666667,0.11666666666666667,0.4287802461280739,0.43398719535745,Constrained
0.06666666666666667,0.13333333333333333,0.42788883688735807,0.43505403076098614,Constrained
0.06666666666666667,0.15000000000000002,0.4270002324234704,0.4361188844380882,Constrained
0.06666666666666667,0.16666666666666669,0.4261144289768484,0.4371817419497741,Constrained
0.06666666666666667,0.18333333333333335,0.42523142267447445,0.4382425891139798,Constrained
0.06666666666666667,0.2,0.4243512095313032,0.43930141200498574,Constrained
0.06666666666666667,0.21666666666666667,0.42347378545163833,0.4403581969527715,Constrained
0.06666666666666667,0.23333333333333334,0.42259914623087114,0.4414129305419737,Constrained
0.06666666666666667,0.25,0.4217272875581941,0.44246559960999265,Constrained
0.06666666666666667,0.26666666666666666,0.4208582050212985,0.4435161912435433,Constrained
0.06666666666666667,0.2833333333333333,0.41999189411438087,0.44456469277281696,Constrained
0.06666666666666667,0.3,0.41912835025091977,0.44561109176241576,Constrained
0.06666666666666667,0.31666666666666665,0.41826756851352076,0.44665537620947615,Constrained
0.06666666666666667,0.3333333333333333,0.4174095441935408,0.4476975341109644,Constrained
0.06666666666666667,0.35,0.4165542723683351,0.4487375538056818,Constrained
0.06666666666666667,0.36666666666666664,0.41570174802258475,0.44977542387565833,Constrained
0.06666666666666667,0.3833333333333333,0.4148519660587455,0.45081113313827015,Constrained
0.06666666666666667,0.39999999999999997,0.41400492130948807,0.4518446706372797,Constrained
0.06666666666666667,0.41666666666666663,0.4131606083074516,0.4528760258180971,Constrained
0.06666666666666667,0.4333333333333333,0.41231902174007196,0.45390518817774844,Constrained
0.06666666666666667,0.45,0.4114801561513864,0.4549321474958828,Constrained
0.06666666666666667,0.4666666666666667,0.4106440059824604,0.45595689380247845,Constrained
0.06666666666666667,0.48333333333333334,0.40981056559873086,0.4569794173568375,Constrained
0.06666666666666667,0.5,0.4089798292983058,0.4579997086413474,Constrained
0.06666666666666667,0.5166666666666667,0.40815179118911854,0.4590177584526178,Constrained
0.06666666666666667,0.5333333333333333,0.4073264453444412,0.4600335577836169,Constrained
0.06666666666666667,0.55,0.40650378585533464,0.461047097786016,Constrained
0.08333333333333334,0.05,0.43154436049864553,0.43067802914049563,Constrained
0.08333333333333334,0.06666666666666667,0.43064680295288266,0.43174787453261887,Constrained
0.08333333333333334,0.08333333333333334,0.4297520483564633,0.4328157917976872,Constrained
0.08333333333333334,0.1,0.42886009335352815,0.43388176578908555,Constrained
0.08333333333333334,0.11666666666666667,0.4279709344231206,0.4349457816855854,Constrained
0.08333333333333334,0.13333333333333333,0.42708456792494287,0.4360078249206515,Constrained
0.08333333333333334,0.15000000000000002,0.42620099010478607,0.437067881181305,Constrained
0.08333333333333334,0.16666666666666669,0.42532019709672897,0.4381259364079187,Constrained
0.08333333333333334,0.18333333333333335,0.42444218492517016,0.439181976793488,Constrained
0.08333333333333334,0.2,0.423566949507292,0.44023598878228876,Constrained
0.08333333333333334,0.21666666666666667,0.4226944866567237,0.44128795906749707,Constrained
0.08333333333333334,0.23333333333333334,0.42182479208971624,0.4423378745869365,Constrained
0.08333333333333334,0.25,0.4209578614117688,0.44338572253472536,Constrained
0.08333333333333334,0.26666666666666666,0.4200936899767648,0.4444314904702999,Constrained
0.08333333333333334,0.2833333333333333,0.41923227327291757,0.4454751660133648,Constrained
0.08333333333333334,0.3,0.4183736065911911,0.4465167371093009,Constrained
0.08333333333333334,0.31666666666666665,0.4175176851281302,0.4475561919464059,Constrained
0.08333333333333334,0.3333333333333333,0.416664503995029,0.4485935189491177,Constrained
0.08333333333333334,0.35,0.4158140582328786,0.4496287067673595,Constrained
0.08333333333333334,0.36666666666666664,0.4149663426200418,0.45066174442203677,Constrained
0.08333333333333334,0.3833333333333333,0.41412135198010486,0.4516926210684938,Constrained
0.08333333333333334,0.39999999999999997,0.41327908108835365,0.45272132607115384,Constrained
0.08333333333333334,0.41666666666666663,0.41243952458582556,0.45374784906725324,Constrained
0.08333333333333334,0.4333333333333333,0.41160267704027365,0.4547721799206642,Constrained
0.08333333333333334,0.45,0.4107685329598312,0.4557943087120493,Constrained
0.08333333333333334,0.4666666666666667,0.4099370865412921,0.45681422592395987,Constrained
0.08333333333333334,0.48333333333333334,0.4091083321652532,0.45783192207320356,Constrained
0.08333333333333334,0.5,0.40828226406949997,0.45884738795405805,Constrained
0.08333333333333334,0.5166666666666667,0.40745887639576983,0.45986061460248373,Constrained
0.08333333333333334,0.5333333333333333,0.40663816321797686,0.46087159327496663,Constrained
0.08333333333333334,0.55,0.4058201185505948,0.46188031544215996,Constrained
0.1,0.05,0.43071751342733966,0.43165363274333407,Constrained
0.1,0.06666666666666667,0.4298250444562329,0.4327187077146005,Constrained
0.1,0.08333333333333334,0.4289353627281385,0.43378184813588283,Constrained
0.1,0.1,0.4280484647499869,0.4348430392887576,Constrained
0.1,0.11666666666666667,0.4271643468824682,0.4359022667384864,Constrained
0.1,0.13333333333333333,0.4262830053756539,0.43695951629823326,Constrained
0.1,0.15000000000000002,0.4254044363692155,0.4380147740315967,Constrained
0.1,0.16666666666666669,0.4245286358936683,0.4390680262528091,Constrained
0.1,0.18333333333333335,0.4236555998722247,0.44011925952593856,Constrained
0.1,0.2,0.42278532412240777,0.44116846066408394,Constrained
0.1,0.21666666666666667,0.4219178043573911,0.44221561672866344,Constrained
0.1,0.23333333333333334,0.4210530361875666,0.4432607150284414,Constrained
0.1,0.25,0.420191015123064,0.44430374311777493,Constrained
0.1,0.26666666666666666,0.41933173657845724,0.44534468879323275,Constrained
0.1,0.2833333333333333,0.4184751958813554,0.4463835400874891,Constrained
0.1,0.3,0.41762138828469475,0.44742028526093336,Constrained
0.1,0.31666666666666665,0.4167703086858631,0.4484549130099006,Constrained
0.1,0.3333333333333333,0.4159219522447023,0.4494874120037423,Constrained
0.1,0.35,0.41507631388941313,0.4505177712569783,Constrained
0.1,0.36666666666666664,0.41423338846392693,0.45154598001775875,Constrained
0.1,0.3833333333333333,0.4133931707401347,0.4525720277589811,Constrained
0.1,0.39999999999999997,0.4125556554204982,0.45359590417693324,Constrained
0.1,0.41666666666666663,0.41172083684926386,0.4546175994005676,Constrained
0.1,0.4333333333333333,0.4108887096607591,0.4556371035170169,Constrained
0.1,0.45,0.41005926826197325,0.4566544069512208,Constrained
0.1,0.4666666666666667,0.4092325069873205,0.45766950035173,Constrained
0.1,0.48333333333333334,0.4084084201103833,0.4586823745820765,Constrained
0.1,0.5,0.40758700178765406,0.45969302076129026,Constrained
0.1,0.5166666666666667,0.4067682459538652,0.4607014303372921,Constrained
0.1,0.5333333333333333,0.40595214673780894,0.4617075947877459,Constrained
0.1,0.55,0.40513869808096203,0.4627115058945905,Constrained
0.11666666666666667,0.05,0.4298934584519236,0.43262713142930115,Constrained
0.11666666666666667,0.06666666666666667,0.4290060605069098,0.4336874332283302,Constrained
0.11666666666666667,0.08333333333333334,0.4281214339843413,0.4347457945060109,Constrained
0.11666666666666667,0.1,0.42723957529036016,0.43580220091581845,Constrained
0.11666666666666667,0.11666666666666667,0.4263604806721192,0.43685663840471944,Constrained
0.11666666666666667,0.13333333333333333,0.4254841462735398,0.43790909316124244,Constrained
0.11666666666666667,0.15000000000000002,0.42461056813139897,0.4389595516208731,Constrained
0.11666666666666667,0.16666666666666669,0.42373974217598753,0.4400080004666255,Constrained
0.11666666666666667,0.18333333333333335,0.42287166423341177,0.4410544266278168,Constrained
0.11666666666666667,0.2,0.42200633002742294,0.44209881727902295,Constrained
0.11666666666666667,0.21666666666666667,0.4211437351805243,0.44314115983948354,Constrained
0.11666666666666667,0.23333333333333334,0.4202838752148499,0.44418144197259923,Constrained
0.11666666666666667,0.25,0.4194267455531868,0.4452196515852615,Constrained
0.11666666666666667,0.26666666666666666,0.4185723415205762,0.4462557768267014,Constrained
0.11666666666666667,0.2833333333333333,0.41772065834697547,0.44728980608652086,Constrained
0.11666666666666667,0.3,0.41687169117209605,0.44832172799114905,Constrained
0.11666666666666667,0.31666666666666665,0.41602543505417877,0.4493515313975837,Constrained
0.11666666666666667,0.3333333333333333,0.4151818849850168,0.4503792053829778,Constrained
0.11666666666666667,0.35,0.4143410356536282,0.4514047394143606,Constrained
0.11666666666666667,0.36666666666666664,0.41350288188366147,0.45242812303106283,Constrained
0.11666666666666667,0.3833333333333333,0.41266741839692767,0.4534493460178853,Constrained
0.11666666666666667,0.39999999999999997,0.4118346397967355,0.4544683984157795,Constrained
0.11666666666666667,0.41666666666666663,0.4110045406187059,0.45548527048511483,Constrained
0.11666666666666667,0.4333333333333333,0.4101771153490513,0.45649995269284105,Constrained
0.11666666666666667,0.45,0.4093523581207734,0.4575124359279034,Constrained
0.11666666666666667,0.4666666666666667,0.40853026331221387,0.45852271107330955,Constrained
0.11666666666666667,0.48333333333333334,0.4077108251382977,0.4595307692987235,Constrained
0.11666666666666667,0.5,0.40689403772510985,0.46053660200617424,Constrained
0.11666666666666667,0.5166666666666667,0.4060798951407812,0.4615402008077444,Constrained
0.11666666666666667,0.5333333333333333,0.4052683913949078,0.4625415575257809,Constrained
0.11666666666666667,0.55,0.4044595201629929,0.46354066438612695,Constrained
0.13333333333333333,0.05,0.42907219312318323,0.43359851178951325,Constrained
0.13333333333333333,0.06666666666666667,0.42818984855177555,0.4346540380446791,Constrained
0.13333333333333333,0.08333333333333334,0.42731025943787637,0.4357076182581201,Constrained
0.13333333333333333,0.1,0.4264334221721307,0.4367592383870503,Constrained
0.13333333333333333,0.11666666666666667,0.425559332881221,0.43780888476116203,Constrained
0.13333333333333333,0.13333333333333333,0.4246879876024089,0.43885654394243706,Constrained
0.13333333333333333,0.15000000000000002,0.42381938227236315,0.43990220273359604,Constrained
0.13333333333333333,0.16666666666666669,0.42295351272457504,0.44094584818111415,Constrained
0.13333333333333333,0.18333333333333335,0.4220903746912972,0.4419874675743111,Constrained
0.13333333333333333,0.2,0.42122996380559874,0.443027048444095,Constrained
0.13333333333333333,0.21666666666666667,0.42037227560252827,0.44406457856225046,Constrained
0.13333333333333333,0.23333333333333334,0.41951730551975974,0.44510004594103314,Constrained
0.13333333333333333,0.25,0.41866504889836964,0.44613343883262335,Constrained
0.13333333333333333,0.26666666666666666,0.4178155009838781,0.44716474572834997,Constrained
0.13333333333333333,0.2833333333333333,0.41696865692785945,0.44819395535746354,Constrained
0.13333333333333333,0.3,0.41612451179029364,0.44922105668534307,Constrained
0.13333333333333333,0.31666666666666665,0.4152830605434653,0.45024603891059,Constrained
0.13333333333333333,0.3333333333333333,0.4144442980785942,0.45126889146024535,Constrained
0.13333333333333333,0.35,0.41360821921689506,0.4522896039820538,Constrained
0.13333333333333333,0.36666666666666664,0.4127748186319818,0.4533081663990302,Constrained
0.13333333333333333,0.3833333333333333,0.4119440908066746,0.45432456893751205,Constrained
0.13333333333333333,0.39999999999999997,0.41111603039495304,0.45533880187436315,Constrained
0.13333333333333333,0.41666666666666663,0.41029063185506387,0.45635085579407497,Constrained
0.13333333333333333,0.4333333333333333,0.4094678895742513,0.4573607215006122,Constrained
0.13333333333333333,0.45,0.4086477978815648,0.4583683900082348,Constrained
0.13333333333333333,0.4666666666666667,0.4078303510032306,0.45937385257259716,Constrained
0.13333333333333333,0.48333333333333334,0.4070155428950252,0.4603771008059426,Constrained
0.13333333333333333,0.5,0.4062033677651894,0.4613781263122528,Constrained
0.13333333333333333,0.5166666666666667,0.4053938196158924,0.46237692100707956,Constrained
0.13333333333333333,0.5333333333333333,0.4045868923870552,0.4633734770163507,Constrained
0.13333333333333333,0.55,0.4037825799668353,0.4643677866686034,Constrained
0.15000000000000002,0.05,0.42825371484705876,0.4345677606879208,Constrained
0.15000000000000002,0.06666666666666667,0.4273764058145004,0.43561850946031067,Constrained
0.15000000000000002,0.08333333333333334,0.4265018363000882,0.43666730697743006,Constrained
0.15000000000000002,0.1,0.42563000247522376,0.4377141396638128,Constrained
0.15000000000000002,0.11666666666666667,0.4247609004782747,0.4387589941309159,Constrained
0.15000000000000002,0.13333333333333333,0.42389452622772944,0.4398018573179589,Constrained
0.15000000000000002,0.15000000000000002,0.423030875558759,0.4408427163930905,Constrained
0.15000000000000002,0.16666666666666669,0.4221699442107146,0.4418815587614905,Constrained
0.15000000000000002,0.18333333333333335,0.42131172782534887,0.44291837206711593,Constrained
0.15000000000000002,0.2,0.42045622194824817,0.4439531441919185,Constrained
0.15000000000000002,0.21666666666666667,0.4196034220299114,0.4449858632551329,Constrained
0.15000000000000002,0.23333333333333334,0.4187533234264534,0.4460165176127561,Constrained
0.15000000000000002,0.25,0.41790592140015514,0.4470450958570984,Constrained
0.15000000000000002,0.26666666666666666,0.41706121112041195,0.44807158681602494,Constrained
0.15000000000000002,0.2833333333333333,0.4162191876651036,0.4490959795518707,Constrained
0.15000000000000002,0.3,0.4153798460225195,0.4501182633599318,Constrained
0.15000000000000002,0.31666666666666665,0.41454318109417243,0.4511384277663124,Constrained
0.15000000000000002,0.3333333333333333,0.41370918769904813,0.45215646252477404,Constrained
0.15000000000000002,0.35,0.4128778605800715,0.4531723576120961,Constrained
0.15000000000000002,0.36666666666666664,0.4120491944146342,0.4541861032207515,Constrained
0.15000000000000002,0.3833333333333333,0.4112231836473193,0.4551976898732279,Constrained
0.15000000000000002,0.39999999999999997,0.41039982274259157,0.45620710824710275,Constrained
0.15000000000000002,0.41666666666666663,0.40957910617155585,0.4572143491851588,Constrained
0.15000000000000002,0.4333333333333333,0.40876102826057525,0.458219403798329,Constrained
0.15000000000000002,0.45,0.4079455832674096,0.45922226341295896,Constrained
0.15000000000000002,0.4666666666666667,0.40713276539147913,0.4602229195633762,Constrained
0.15000000000000002,0.48333333333333334,0.4063225687759333,0.4612213639902182,Constrained
