ug,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state
0.265,0.43790542615208294,0.2114397767944714,0.10301055834023623,0.16330976731570412,0.1309222012143089,0.5772098435293941,0.39295555147737277,-0.10810546440889862,0.48379474897924435,Constrained,0.08666047022478231,0.74
0.27,0.44251526796199236,0.2133456359264029,0.10390696712298488,0.16472973749941092,0.13214133687707513,0.5750155923878217,0.3890121866121822,-0.10525737634585253,0.4894867970492348,Constrained,0.08683968974492944,0.74
0.275,0.44705023377432707,0.21521521283433462,0.1047869461929538,0.1661236863537416,0.13333898352131468,0.5728722079574173,0.38515053887786266,-0.10246498633488918,0.49507018708556144,Constrained,0.08701116838115226,0.74
0.28,0.4515121174197922,0.21704948167006283,0.10565091352745676,0.16749228468433297,0.1345156752405257,0.5707780203133019,0.38136815730528306,-0.0997267130217768,0.5005465737387329,Constrained,0.08717560870747426,0.74
0.28500000000000003,0.4559026570655024,0.2188493841131538,0.10649927412763492,0.16883618186710694,0.13567192971784026,0.5687314289889448,0.3776626852730839,-0.09704103276596124,0.505917658140101,Constrained,0.08733326482202625,0.74
0.29,0.46022353731907917,0.22061583061636625,0.10733242045225388,0.17015600662309144,0.13680824879303072,0.5667308995103978,0.37403185612067347,-0.09440647709669467,0.5111851794353797,Constrained,0.08748461897448173,0.74
0.295,0.46447639123857787,0.22234970160075943,0.10815073283941697,0.17145236776490666,0.1379251190106769,0.5647749601302721,0.3704734889974477,-0.09182163029870008,0.5163509070593839,Constrained,0.08763018593388744,0.74
0.3,0.46866280214735295,0.2240518485940611,0.10895457996430545,0.17272585494373743,0.13902301216386762,0.5628621987857367,0.3669854849727206,-0.08928512713858947,0.5214166336666272,Constrained,0.08777042146046372,0.74
0.305,0.47278430548660305,0.22572309532867843,0.10974431922763707,0.17397703933577285,0.1401023858011017,0.5609912601895811,0.36356582331232234,-0.08679565068728681,0.5263841687468753,Constrained,0.0879051819375715,0.74
0.31,0.47684239054736294,0.22736423879188,0.11052029715031224,0.1752064743135431,0.1411636837209283,0.559160843099499,0.360212557966413,-0.08435193025838805,0.5312553328280881,Constrained,0.088035312308723,0.74
0.315,0.4808385021887666,0.228976050237372,0.11128284972749408,0.1764146960757125,0.1422073364408473,0.5573696977182506,0.3569238142185639,-0.0819527394380763,0.5360319522604402,Constrained,0.08816100697284249,0.74
0.32,0.4847740423389864,0.2305592761428542,0.11203230283626688,0.17760222429033107,0.14323376166758572,0.5556166232906788,0.35369778556449405,-0.0795968942392373,0.5407158544642445,Constrained,0.08828245891178739,0.74
0.325,0.4886503715907815,0.23211463914079072,0.11276897255727719,0.17876956267165187,0.14424336472953397,0.5539004657757277,0.35053273069201596,-0.07728325131716499,0.545308863717197,Constrained,0.08839978268111824,0.74
0.33,0.4924688106555076,0.2336428389048335,0.11349316551932077,0.1799171995543769,0.14523653900313974,0.5522201156729205,0.34742697064435724,-0.0750107062860138,0.5498127973562383,Constrained,0.08851319681061397,0.74
0.335,0.496230641801673,0.2351445530042688,0.11420517921149508,0.18104560843407203,0.14621366631827828,0.5505745059489885,0.344378886109045,-0.0727781921074451,0.5542294624069127,Constrained,0.08862305210835744,0.74
0.34,0.49993711017572867,0.23662043771676103,0.1149053023108491,0.18215524850175446,0.14717511735536729,0.5489626100999346,0.3413869148692554,-0.07058467756941275,0.558560652563368,Constrained,0.08872953744050888,0.74
0.34500000000000003,0.5035894250926879,0.23807112881036904,0.11559381498729068,0.1832465651512259,0.1481212520248459,0.5473834403063254,0.33844954937216964,-0.06842916583223399,0.5628081455256607,Constrained,0.08883274538431395,0.74
0.35000000000000003,0.5071887613082189,0.23949724229714914,0.11627098918240023,0.18431999045835734,0.14905241982890508,0.5458360456733576,0.3355653344043845,-0.06631069303657136,0.5669737006685756,Constrained,0.08893272654558072,0.74
0.35500000000000004,0.5107362602025434,0.24089937515228785,0.11693708889466305,0.18537594365103355,0.14996896021404393,0.5443195105776302,0.33273286489737275,-0.06422832698448705,0.571059056986016,Constrained,0.08902978420995984,0.74
0.36000000000000004,0.5142330309816826,0.2422781060120113,0.11759237042525868,0.18641483154482102,0.15087120290393888,0.5428329530721709,0.32995078381032356,-0.06218116586685496,0.575065931331824,Constrained,0.08912410334111032,0.74
0.36500000000000005,0.5176801516776744,0.2436339958231039,0.11823708268385194,0.18743704899988342,0.1517594682354001,0.5413755234419159,0.3272177801894913,-0.0601683370870556,0.5789960168296974,Constrained,0.08921586825309401,0.74
0.37,0.5210786702882325,0.24496758848948216,0.1188714674025075,0.18844297931547035,0.15263406746375896,0.5399464027539087,0.32453258723536604,-0.05818899609533615,0.5828509815925903,Constrained,0.08930526267526614,0.74
0.375,0.524429605771846,0.2462794114798494,0.11949575938667666,0.18943299463414556,0.15349530306717343,0.5385448015256599,0.32189398051037826,-0.05624232530072654,0.5866324675947969,Constrained,0.08939210021991625,0.74
0.38,0.527733949025918,0.24756997641386583,0.12011018674700805,0.19040745632486739,0.1543434690374721,0.5371699584509069,0.3193007762211783,-0.05432753302694948,0.590342089738819,Constrained,0.08947635157329792,0.74
0.385,0.5309926638734807,0.24883977963211465,0.12071497110146018,0.19136671533997562,0.15517885115622534,0.5358211391661061,0.31675182955682063,-0.052443852502476906,0.5939814351138324,Constrained,0.08955866271034323,0.74
0.39,0.5342066878713638,0.25008930272099666,0.1213103278338767,0.19231111259298572,0.1560017272729522,0.53449763514925,0.3142460331820292,-0.05059054093543722,0.5975520623273183,Constrained,0.08963921484959494,0.74
0.395,0.5373769332551391,0.25131901304333243,0.12189646626659806,0.19324097928047326,0.15681236755830535,0.5331987625883803,0.31178231570847487,-0.048766878582396894,0.6010555010670362,Constrained,0.08971698322383993,0.74
0.4,0.5405042877532092,0.2525293642330696,0.12247358986979388,0.19415663721508478,0.15761103475641444,0.531923861353525,0.30935964028883245,-0.04697216788503067,0.6044932517324332,Constrained,0.08979321097336368,0.74
0.405,0.5435896153889076,0.25372079667343383,0.12304189645443367,0.1950583991411185,0.15839798442629482,0.5306722940091756,0.3069770032650375,-0.045205732639393814,0.6078667851876852,Constrained,0.08986786143923363,0.74
0.41000000000000003,0.5466337572828931,0.2548937379621114,0.123601578343867,0.195946569030593,0.159173465172164,0.5294434448566763,0.30463343285877464,-0.04346691719139828,0.6111775426333842,Constrained,0.08994008513926165,0.74
0.41500000000000004,0.549637532355891,0.2560486033448519,0.124152822571437,0.19682144238528104,0.1599377188706182,0.5282367190636125,0.30232798796590366,-0.041755085690249466,0.6144269355224798,Constrained,0.09001121000999326,0.74
0.42000000000000004,0.5526017380538785,0.2571857961414095,0.12469581104816661,0.19768330651511978,0.16069098088578462,0.5270515418057838,0.3000597569737007,-0.040069621357802315,0.6176163455881413,Constrained,0.0900802526603312,0.74
0.42500000000000004,0.5555271510534482,0.2583057081563912,0.12523072072086383,0.19853244080451182,0.16143348027625698,0.525887357445976,0.2978278566267253,-0.038409925786976634,0.6207471249463684,Constrained,0.09014792406922482,0.74
0.43000000000000005,0.5584145279162785,0.259408720069478,0.12575772373595673,0.19936911697466278,0.16216543999640082,0.524743628765717,0.2956314309587069,-0.03677541827812872,0.623820596245739,Constrained,0.09021412031405696,0.74
0.435,0.5612646057263163,0.26049520181191743,0.12627698759413516,0.20019359933439132,0.16288707708989633,0.5236198362289277,0.2934696502671959,-0.03516553520122448,0.6268380528774212,Constrained,0.09027864582194069,0.74
0.44,0.5640781027459287,0.2615655129380211,0.12678867527893423,0.20100614501114375,0.16359860287368136,0.5225154772510127,0.2913417101019836,-0.03357972936863096,0.6298007592644984,Constrained,0.090342086836386,0.74
0.445,0.5668557189246166,0.2626200029546007,0.12729294544008754,0.20180700420402586,0.16430022312307418,0.521430065586014,0.28924683038916027,-0.0320174694816695,0.6327099511040826,Constrained,0.09040376950430369,0.74
0.45,0.56959813653397,0.26365901167035544,0.12778995250062308,0.2025964203914956,0.16499213824112027,0.5203631306428992,0.2871842544856866,-0.030478239544365293,0.6355668357539771,Constrained,0.09046454338608724,0.74
0.455,0.5723060207011869,0.2646828695145117,0.12827984679771215,0.20337463055091662,0.16567454342695512,0.5193142168865208,0.28515324833277284,-0.028961538331587572,0.638372592593278,Constrained,0.09052368206030398,0.74
0.46,0.574980019937645,0.26569189784655195,0.12876277471161227,0.2041418653664782,0.1663476288372703,0.518282883255946,0.2831530996349003,-0.027466878873534634,0.641128373421721,Constrained,0.09058187398070171,0.74
0.465,0.5776207666485725,0.26668640925431636,0.1292388787899347,0.20489834942947396,0.16701157974207917,0.5172687026088324,0.2811831170736257,-0.025993787961194947,0.6438353028830154,Constrained,0.09063876355807635,0.74
0.47000000000000003,0.5802288776545859,0.26766670784889646,0.12970829785224766,0.20564430142368442,0.1676665766734871,0.5162712611663324,0.2792426295283892,-0.02454180565825198,0.6464944789332033,Constrained,0.09069445590522808,0.74
0.47500000000000003,0.5828049546119218,0.26863308952644027,0.13017116713270538,0.20637993432503302,0.16831279557343212,0.5152901580498218,0.2773309854025646,-0.023110484870382836,0.6491069732555484,Constrained,0.09074938757959207,0.74
0.48000000000000004,0.585349584503202,0.26958584224284815,0.1306276183746452,0.207105455572281,0.16895040793187763,0.5143250047686209,0.2754475519026636,-0.02169939089284817,0.6516738317626061,Constrained,0.09080266009459001,0.74
0.48500000000000004,0.5878633400784962,0.2705252462698368,0.1310777799380075,0.20782106723985336,0.1695795809219179,0.5133754247564939,0.273591714375855,-0.02030810099088759,0.6541960750808262,Constrained,0.09085570319392315,0.74
0.49000000000000005,0.5903467802771637,0.2714515744404989,0.13152177690490968,0.2085269662053958,0.17020047753036227,0.5124410529313214,0.2717628756780255,-0.018936203998430157,0.6566746990405857,Constrained,0.09090685149083894,0.74
0.49500000000000005,0.5928004506382228,0.27236509238670564,0.13195973117986345,0.2092233443105121,0.17081325668364059,0.5115215352711763,0.2699604555648647,-0.017583299931122925,0.6591106751753333,Constrained,0.09095756605363968,0.74
0.5,0.5952248837040325,0.2732660587702266,0.13239176158239604,0.20991038851378,0.17141807336909198,0.5106165284011595,0.2681838900997473,-0.01624899961036655,0.6615049512324362,Constrained,0.0910073893759663,0.74
0.505,0.5976205994107089,0.27415472550560144,0.1328179839359656,0.2105882810382102,0.17201507875207328,0.5097256991975118,0.26643263108518533,-0.014932924301796269,0.663858451686424,Constrained,0.09105584952972867,0.74
0.51,0.5999881054182333,0.2750313379601456,0.13323851117912688,0.2112571995257674,0.1726044202908012,0.5088487244538117,0.2647061455656806,-0.013634705392957774,0.6661720782078551,Constrained,0.09110410879720379,0.74
0.515,0.6023278975061086,0.2758961351708704,0.13365345343149548,0.21191731716626228,0.17318624184438072,0.5079852904866863,0.2630039152705004,-0.012353984041865107,0.6684467102075127,Constrained,0.09115090530663413,0.74
0.52,0.6046404599057857,0.27674935003808476,0.13406291808407161,0.21256880283481122,0.17376068377908552,0.5071350928062534,0.2613254361302937,-0.011090410865862571,0.6706832053291701,Constrained,0.09119699465865976,0.74
0.525,0.6069262656330712,0.2775912095155411,0.13446700988044724,0.21321182122153826,0.17432788307060185,0.5062978357894109,0.25967021780112637,-0.009843645636260195,0.672882399950827,Constrained,0.09124289672820396,0.74
0.53,0.6091857768090247,0.2784219347937264,0.13486583099537786,0.21384653295684003,0.17488797340284384,0.5054732323668902,0.25803778320745685,-0.00861335698465307,0.6750451096818726,Constrained,0.09128706865923196,0.74
0.535,0.6114194449825358,0.27924174148125114,0.1352594811034254,0.21447309472885737,0.17544108526313976,0.5046610037084632,0.25642766808731393,-0.0073992221121990664,0.6771721298697086,Constrained,0.09133088182083819,0.74
0.54,0.6136277114184839,0.2800508397710873,0.13564805745883624,0.21509165940348682,0.17598734603484095,0.5038608789491663,0.25483942058504616,-0.0062009265252705725,0.6792642360731009,Constrained,0.0913745205007023,0.74
0.545,0.6158110073764097,0.28084943460087525,0.13603165497291222,0.21570237614020135,0.176526880086799,0.5030725949261716,0.25327260085925685,-0.005018163780662693,0.6813221845306947,Constrained,0.09141646158361588,0.74
0.55,0.617969754411757,0.28163772581946905,0.13641036627014957,0.2163053904951101,0.17705980885911166,0.5022958958890067,0.25172678066613274,-0.003850635219699472,0.68334671265912,Constrained,0.09145808908263518,0.74
0.555,0.6201043646391987,0.2824159083373576,0.13678428175869647,0.2169008445282664,0.17758625094674696,0.5015305332542473,0.25020154299359126,-0.002698049730215757,0.6853385395113912,Constrained,0.09149955414413848,0.74
0.5599999999999999,0.6222152409945289,0.28318417227449205,0.13715348969429575,0.21748887690534194,0.17810632218022654,0.5007762653615548,0.24869648170030462,-0.0015601235125876078,0.6872983662362614,Depleted,0.0915396501715046,0.74
0.565,0.6243027774877992,0.2839427031029344,0.13751807624220808,0.2180696229959232,0.17862013570367233,0.5000328572396104,0.24721120116855855,-0.0004365798543936872,0.689226876529494,Depleted,0.09157917869195328,0.74
0.57,0.6263673594553602,0.2846916817877092,0.13787812553252846,0.21864321496637093,0.1791278020502198,0.4993000803709073,0.24574531595919713,0.0006728510923975917,0.6911247370866008,Depleted,0.09161855610611908,0.74
0.575,0.6284093637964749,0.28543128491966036,0.13823371971815315,0.21920978187175838,0.17962942921507047,0.49857771247655375,0.24429845049081184,0.0017684325203411733,0.6929925980366519,Depleted,0.09165718545132832,0.74
0.58,0.6304291591815369,0.2861616848346256,0.13858493904427593,0.2197694497509293,0.18012512272640124,0.4978655373392096,0.24287023876213204,0.002850421151818161,0.6948310933402077,Depleted,0.09169469805968335,0.74
0.585,0.632427106298643,0.2868830497482156,0.13893186188687626,0.2203223417049753,0.18061498571345683,0.4971633445679732,0.24146032401623718,0.00391906745301035,0.6966408412397449,Depleted,0.09173207021911506,0.74
0.59,0.6344035580605586,0.28759554387228653,0.13927456481004502,0.2208685779825778,0.18109911897285516,0.49647092941803617,0.24006835846526509,0.004974615815442396,0.698422444657598,Depleted,0.09176930260933172,0.74
0.595,0.6363588598127352,0.2882993275307618,0.13961312261663783,0.22140827606027333,0.18157762103266806,0.4957880926063009,0.23869400301360327,0.006017304737086976,0.7001764915956282,Depleted,0.09180518066702499,0.74
